Account_ID,Customer_ID,Account_Type,Branch_Code,Branch_City,Opening_Date,Current_Balance,Status
A000000001,C00001,Savings,BR1007,Hyderabad,2026-02-18,508838,Active
A000000002,C00002,Current,BR1009,Ahmedabad,2022-02-15,1654416,Active
A000000003,C00002,Savings,BR1004,Delhi,2023-07-24,726488,Active
A000000004,C00003,Savings,BR1005,Lucknow,2026-04-11,1216997,Active
A000000005,C00004,Savings,BR1024,Lucknow,2019-09-10,230995,Active
A000000006,C00005,Current,BR1026,Lucknow,2021-09-11,405876,Active
A000000007,C00006,Savings,BR1010,Pune,2025-07-09,142916,Active
A000000008,C00006,Current,BR1011,Pune,2025-06-18,4782974,Active
A000000009,C00007,Current,BR1019,Chennai,2024-11-07,2548636,Active
A000000010,C00007,Savings,BR1026,Bengaluru,2024-11-15,839497,Active
A000000011,C00008,Savings,BR1029,Kolkata,2022-09-03,161295,Active
A000000012,C00009,Savings,BR1025,Delhi,2025-12-12,177240,Active
A000000013,C00009,Current,BR1024,Bengaluru,2025-04-27,3502623,Active
A000000014,C00010,Savings,BR1020,Bengaluru,2025-07-14,632855,Active
A000000015,C00010,Current,BR1021,Bengaluru,2023-04-24,2247680,Active
A000000016,C00011,Savings,BR1002,Mumbai,2024-03-19,11254,Active
A000000017,C00011,Current,BR1002,Pune,2021-01-30,987597,Active
A000000018,C00012,Savings,BR1012,Kolkata,2022-07-09,467293,Active
A000000019,C00012,Current,BR1014,Chennai,2025-02-18,1459459,Inactive
A000000020,C00013,Savings,BR1018,Jaipur,2026-02-13,1182813,Active
A000000021,C00014,Savings,BR1001,Jaipur,2026-04-23,635050,Closed
A000000022,C00015,Savings,BR1014,Hyderabad,2025-08-26,584391,Active
A000000023,C00015,Current,BR1011,Chennai,2025-07-12,2998669,Closed
A000000024,C00016,Savings,BR1019,Pune,2023-09-03,446069,Active
A000000025,C00017,Savings,BR1029,Chennai,2025-03-06,1344292,Active
A000000026,C00018,Savings,BR1004,Hyderabad,2026-05-25,173929,Inactive
A000000027,C00018,Current,BR1007,Lucknow,2021-03-22,3110472,Active
A000000028,C00019,Savings,BR1008,Kolkata,2024-03-27,1081033,Active
A000000029,C00019,Current,BR1003,Lucknow,2023-07-05,3335662,Active
A000000030,C00020,Savings,BR1022,Ahmedabad,2025-06-04,60690,Active
A000000031,C00021,Savings,BR1005,Chennai,2025-11-13,157054,Closed
A000000032,C00021,Current,BR1022,Chennai,2026-01-29,4240281,Active
A000000033,C00022,Savings,BR1009,Kolkata,2025-04-14,1462603,Closed
A000000034,C00022,Current,BR1009,Lucknow,2023-02-14,1221347,Active
A000000035,C00023,Savings,BR1022,Jaipur,2024-11-26,1389781,Active
A000000036,C00023,Current,BR1011,Mumbai,2026-06-10,4538419,Active
A000000037,C00024,Savings,BR1026,Jaipur,2024-04-23,424212,Active
A000000038,C00025,Current,BR1002,Jaipur,2025-10-27,1618334,Active
A000000039,C00025,Savings,BR1015,Bengaluru,2026-04-21,993791,Active
A000000040,C00026,Savings,BR1012,Kolkata,2024-06-20,1162161,Active
A000000041,C00026,Current,BR1019,Pune,2023-01-26,2575789,Active
A000000042,C00027,Savings,BR1015,Kolkata,2026-08-03,533501,Active
A000000043,C00028,Current,BR1026,Delhi,2026-07-04,1594329,Active
A000000044,C00028,Savings,BR1024,Kolkata,2026-04-21,1247618,Active
A000000045,C00029,Savings,BR1001,Hyderabad,2026-07-01,674872,Active
A000000046,C00029,Current,BR1018,Delhi,2026-02-21,857057,Active
A000000047,C00030,Current,BR1003,Pune,2023-01-02,4156208,Active
A000000048,C00031,Savings,BR1017,Hyderabad,2026-04-16,755391,Active
A000000049,C00032,Savings,BR1022,Mumbai,2025-01-25,408289,Active
A000000050,C00032,Current,BR1030,Jaipur,2026-02-06,878481,Active
A000000051,C00033,Savings,BR1022,Hyderabad,2026-05-13,687327,Active
A000000052,C00034,Savings,BR1023,Bengaluru,2021-02-12,1204959,Active
A000000053,C00034,Current,BR1027,Chennai,2022-03-05,3039488,Active
A000000054,C00035,Savings,BR1030,Delhi,2026-02-11,330826,Active
A000000055,C00036,Savings,BR1018,Lucknow,2026-06-03,939175,Active
A000000056,C00036,Current,BR1020,Kolkata,2026-04-16,1610177,Active
A000000057,C00037,Savings,BR1019,Mumbai,2025-07-28,541343,Active
A000000058,C00037,Current,BR1004,Pune,2023-12-06,938474,Active
A000000059,C00038,Current,BR1008,Jaipur,2023-04-04,1331626,Active
A000000060,C00039,Savings,BR1013,Lucknow,2026-01-15,723876,Inactive
A000000061,C00039,Current,BR1030,Mumbai,2026-04-22,3460454,Active
A000000062,C00040,Savings,BR1027,Pune,2026-05-11,870978,Closed
A000000063,C00041,Savings,BR1003,Jaipur,2024-11-21,1478657,Active
A000000064,C00042,Savings,BR1003,Delhi,2022-03-06,350394,Active
A000000065,C00043,Savings,BR1004,Kolkata,2025-03-05,885313,Active
A000000066,C00043,Current,BR1011,Pune,2022-01-12,3102701,Active
A000000067,C00044,Savings,BR1029,Ahmedabad,2024-11-20,520348,Active
A000000068,C00044,Current,BR1024,Jaipur,2025-12-20,1621947,Active
A000000069,C00045,Savings,BR1008,Hyderabad,2022-02-17,649417,Active
A000000070,C00046,Current,BR1026,Mumbai,2023-02-13,4248820,Active
A000000071,C00047,Savings,BR1021,Lucknow,2025-05-17,121985,Active
A000000072,C00047,Current,BR1017,Bengaluru,2025-05-10,4803260,Active
A000000073,C00048,Savings,BR1012,Lucknow,2026-02-07,20536,Active
A000000074,C00049,Current,BR1006,Hyderabad,2026-05-11,4411574,Active
A000000075,C00050,Savings,BR1013,Bengaluru,2026-08-03,324615,Active
A000000076,C00051,Savings,BR1003,Mumbai,2021-02-06,60111,Active
A000000077,C00052,Savings,BR1010,Ahmedabad,2023-10-12,261508,Inactive
A000000078,C00053,Current,BR1019,Chennai,2026-01-29,677462,Inactive
A000000079,C00053,Savings,BR1024,Chennai,2025-04-02,970884,Inactive
A000000080,C00054,Savings,BR1012,Delhi,2026-07-19,717133,Active
A000000081,C00054,Current,BR1010,Jaipur,2026-07-01,4984072,Active
A000000082,C00055,Current,BR1006,Chennai,2023-03-22,3568243,Active
A000000083,C00055,Savings,BR1005,Chennai,2023-01-13,293836,Active
A000000084,C00056,Savings,BR1010,Jaipur,2026-04-14,301853,Active
A000000085,C00056,Current,BR1016,Jaipur,2026-04-02,1449236,Active
A000000086,C00057,Savings,BR1001,Mumbai,2026-07-22,329882,Active
A000000087,C00058,Savings,BR1006,Ahmedabad,2026-02-05,810219,Active
A000000088,C00059,Savings,BR1024,Bengaluru,2024-03-17,555912,Active
A000000089,C00059,Current,BR1021,Hyderabad,2024-09-20,2825258,Active
A000000090,C00060,Savings,BR1008,Delhi,2025-07-02,228744,Active
A000000091,C00061,Current,BR1005,Pune,2026-07-15,3137920,Active
A000000092,C00061,Savings,BR1002,Bengaluru,2026-07-02,295443,Active
A000000093,C00062,Savings,BR1001,Kolkata,2022-05-12,247363,Active
A000000094,C00063,Savings,BR1010,Pune,2026-06-19,649728,Active
A000000095,C00064,Savings,BR1021,Ahmedabad,2023-09-16,1007709,Active
A000000096,C00065,Current,BR1028,Kolkata,2024-01-03,3124766,Active
A000000097,C00066,Current,BR1024,Mumbai,2024-11-28,1126840,Active
A000000098,C00066,Savings,BR1001,Ahmedabad,2025-12-30,1390365,Active
A000000099,C00067,Savings,BR1019,Hyderabad,2022-07-01,983068,Active
A000000100,C00067,Current,BR1020,Ahmedabad,2026-04-23,4906481,Active
A000000101,C00068,Savings,BR1023,Ahmedabad,2023-05-30,390522,Active
A000000102,C00069,Savings,BR1021,Pune,2026-04-20,646141,Active
A000000103,C00070,Savings,BR1028,Kolkata,2024-12-25,944175,Active
A000000104,C00070,Current,BR1020,Hyderabad,2026-07-06,3200289,Active
A000000105,C00071,Savings,BR1007,Pune,2024-11-04,461688,Active
A000000106,C00072,Savings,BR1015,Kolkata,2026-06-01,242360,Inactive
A000000107,C00073,Savings,BR1016,Hyderabad,2021-10-31,663879,Active
A000000108,C00073,Current,BR1021,Chennai,2024-12-12,1553622,Active
A000000109,C00074,Savings,BR1029,Mumbai,2025-08-15,1019150,Active
A000000110,C00075,Current,BR1005,Hyderabad,2026-02-26,1088662,Inactive
A000000111,C00075,Savings,BR1030,Chennai,2026-02-08,1200206,Active
A000000112,C00076,Savings,BR1007,Mumbai,2026-01-05,1162434,Active
A000000113,C00076,Current,BR1008,Hyderabad,2023-06-17,1790025,Active
A000000114,C00077,Current,BR1014,Delhi,2026-04-13,3416760,Active
A000000115,C00077,Savings,BR1029,Lucknow,2026-01-11,1398496,Active
A000000116,C00078,Savings,BR1019,Pune,2025-11-27,1025397,Active
A000000117,C00078,Current,BR1004,Delhi,2024-06-02,4431237,Active
A000000118,C00079,Savings,BR1026,Delhi,2026-04-09,235566,Active
