Customer_ID,First_Name,Last_Name,Gender,DOB,Email,Phone,City,State,Occupation,Annual_Income,Marital_Status,Customer_Segment,Join_Date
C00001,Isaac,Bakshi,Male,1972-10-13,isaac.bakshi719@email.com,8340505846,Bengaluru,Karnataka,Student,147127,Married,Retail,2024-11-23
C00002,Anvi,Konda,Male,1976-10-19,anvi.konda164@email.com,8998485882,Kolkata,West Bengal,Doctor,2697498,Married,VIP,2020-06-27
C00003,Liam,Chaudry,Male,1988-05-26,liam.chaudry390@email.com,6415393687,Chennai,Tamil Nadu,Data Analyst,1300581,Single,Premium,2024-05-06
C00004,Gagan,Sami,Male,1982-10-10,gagan.sami550@email.com,6536124280,Kolkata,West Bengal,Doctor,2692670,Married,VIP,2018-11-10
C00005,Ayushman,Chander,Female,1981-07-06,ayushman.chander371@email.com,8479708607,Lucknow,Uttar Pradesh,Sales Executive,607419,Married,Premium,2020-06-13
C00006,Viraj,Tiwari,Male,2001-07-18,viraj.tiwari876@email.com,6999829240,Hyderabad,Telangana,Data Analyst,1310620,Widowed,Premium,2023-09-17
C00007,Avi,Issac,Female,1981-03-26,avi.issac215@email.com,8878380452,Mumbai,Maharashtra,Accountant,782554,Single,Premium,2024-09-05
C00008,Oni,Kannan,Male,1961-09-23,oni.kannan251@email.com,6701808367,Mumbai,Maharashtra,Teacher,619360,Married,Premium,2022-05-30
C00009,Arunima,Ahuja,Male,1987-09-21,arunima.ahuja795@email.com,6240251661,Chennai,Tamil Nadu,Sales Executive,530283,Married,Premium,2025-01-16
C00010,Nathaniel,Sami,Male,2003-03-02,nathaniel.sami966@email.com,8436019774,Delhi,Delhi,Government Employee,680746,Single,Premium,2021-06-26
C00011,Arunima,Dugal,Female,1985-04-28,arunima.dugal143@email.com,7059257080,Ahmedabad,Gujarat,Accountant,814850,Single,Premium,2020-06-02
C00012,Gayathri,Chaudry,Female,1971-04-06,gayathri.chaudry225@email.com,6594130308,Lucknow,Uttar Pradesh,Retired,374622,Single,Retail,2019-05-19
C00013,Lajita,Chatterjee,Female,2000-07-17,lajita.chatterjee433@email.com,8561557300,Mumbai,Maharashtra,Teacher,380132,Married,Retail,2021-08-23
C00014,Hemangini,Lalla,Male,1980-10-14,hemangini.lalla882@email.com,6049310608,Hyderabad,Telangana,Accountant,954816,Widowed,Premium,2025-06-15
C00015,Caleb,Sharaf,Female,1997-08-27,caleb.sharaf446@email.com,6679282378,Chennai,Tamil Nadu,Sales Executive,579786,Single,Premium,2023-02-25
C00016,Jeet,Radhakrishnan,Male,1959-04-09,jeet.radhakrishnan892@email.com,8685643886,Jaipur,Rajasthan,Sales Executive,487330,Divorced,Retail,2019-04-05
C00017,Chaaya,Pathak,Male,1964-12-03,chaaya.pathak166@email.com,8316615266,Mumbai,Maharashtra,Retired,254286,Single,Retail,2023-07-02
C00018,Rehaan,Boase,Female,1972-08-17,rehaan.boase952@email.com,7558990517,Ahmedabad,Gujarat,Retired,319951,Single,Retail,2018-12-24
C00019,Vedant,Mann,Female,1986-04-14,vedant.mann88@email.com,9143519183,Lucknow,Uttar Pradesh,Student,63143,Divorced,Retail,2019-04-08
C00020,Viraj,Chaudhuri,Male,2000-11-11,viraj.chaudhuri170@email.com,7138409539,Ahmedabad,Gujarat,Software Engineer,869256,Divorced,Premium,2021-10-28
C00021,Arunima,Setty,Female,1967-01-15,arunima.setty707@email.com,6863937247,Jaipur,Rajasthan,Data Analyst,1474036,Married,Premium,2023-12-31
C00022,Janya,Gaba,Female,1979-09-07,janya.gaba254@email.com,6965067727,Jaipur,Rajasthan,Business Owner,4475049,Married,VIP,2021-09-27
C00023,Isha,Kadakia,Male,2003-10-13,isha.kadakia73@email.com,9040153710,Lucknow,Uttar Pradesh,Sales Executive,541292,Single,Premium,2024-04-16
C00024,Amara,Bora,Female,1991-07-10,amara.bora286@email.com,8873237671,Delhi,Delhi,Student,86619,Married,Retail,2023-10-09
C00025,Onveer,Walla,Male,1971-06-12,onveer.walla485@email.com,9468173213,Ahmedabad,Gujarat,Retired,452100,Single,Retail,2024-10-16
C00026,Yash,Gade,Male,1999-06-23,yash.gade885@email.com,9131356954,Pune,Maharashtra,Government Employee,771507,Single,Premium,2022-07-10
C00027,Ladli,Madan,Male,1963-09-24,ladli.madan820@email.com,9700855390,Pune,Maharashtra,Teacher,331778,Married,Retail,2026-06-18
C00028,Theodore,Nair,Male,1993-05-07,theodore.nair286@email.com,7986972437,Mumbai,Maharashtra,Sales Executive,770405,Single,Premium,2025-10-04
C00029,Daksh,Karnik,Male,2000-12-27,daksh.karnik554@email.com,9590711152,Kolkata,West Bengal,Sales Executive,402664,Married,Retail,2025-07-31
C00030,Azad,Mutti,Male,2000-04-11,azad.mutti886@email.com,7722454917,Ahmedabad,Gujarat,Software Engineer,1452312,Married,Premium,2022-01-01
C00031,Amrita,Bhatti,Female,1995-01-30,amrita.bhatti804@email.com,7954246074,Hyderabad,Telangana,Student,102346,Divorced,Retail,2020-05-20
C00032,Divya,Kala,Male,1960-11-09,divya.kala992@email.com,6251183830,Bengaluru,Karnataka,Accountant,562316,Single,Premium,2024-03-01
C00033,Xalak,Randhawa,Female,1971-07-18,xalak.randhawa515@email.com,9948737639,Kolkata,West Bengal,Business Owner,1279537,Married,Premium,2026-02-11
C00034,Tara,Dhar,Female,1995-07-14,tara.dhar70@email.com,8900015820,Mumbai,Maharashtra,Sales Executive,384002,Single,Retail,2020-11-03
C00035,Liam,Koshy,Female,1980-06-15,liam.koshy635@email.com,6352116052,Lucknow,Uttar Pradesh,Retired,279087,Married,Retail,2024-12-04
C00036,Adya,Sangha,Male,1967-11-03,adya.sangha734@email.com,7349409434,Hyderabad,Telangana,Sales Executive,631737,Single,Premium,2026-03-24
C00037,Mohini,Pathak,Male,1980-06-09,mohini.pathak959@email.com,6311570307,Chennai,Tamil Nadu,Doctor,1958869,Divorced,VIP,2020-06-15
C00038,Lakshit,Upadhyay,Male,1965-11-04,lakshit.upadhyay272@email.com,6568896616,Jaipur,Rajasthan,Teacher,338409,Single,Retail,2022-10-15
C00039,Gavin,Batta,Female,2001-04-07,gavin.batta557@email.com,9021680963,Mumbai,Maharashtra,Business Owner,3190647,Single,VIP,2025-11-30
C00040,Imaran,Dua,Male,1963-11-23,imaran.dua680@email.com,6444900634,Jaipur,Rajasthan,Student,175076,Single,Retail,2023-12-05
C00041,Nathaniel,Sami,Female,1997-03-29,nathaniel.sami160@email.com,7169726681,Delhi,Delhi,Teacher,766465,Married,Premium,2023-08-30
C00042,Devansh,Rajan,Male,1992-02-19,devansh.rajan258@email.com,9888390599,Hyderabad,Telangana,Data Analyst,1220892,Married,Premium,2021-11-01
C00043,Upadhriti,Wadhwa,Female,2002-06-24,upadhriti.wadhwa790@email.com,6561866144,Kolkata,West Bengal,Government Employee,690120,Single,Premium,2020-09-23
C00044,Advay,Contractor,Female,1989-05-23,advay.contractor115@email.com,6323169889,Pune,Maharashtra,Accountant,978478,Married,Premium,2024-05-22
C00045,Amara,Oak,Female,1961-06-05,amara.oak152@email.com,7845919895,Chennai,Tamil Nadu,Sales Executive,337778,Married,Retail,2019-07-16
C00046,Chaaya,Saran,Male,1986-02-09,chaaya.saran683@email.com,6441495235,Bengaluru,Karnataka,Student,93797,Married,Retail,2019-12-08
C00047,Sudiksha,Aggarwal,Male,1970-01-22,sudiksha.aggarwal243@email.com,9713453204,Mumbai,Maharashtra,Retired,542942,Divorced,Premium,2024-09-24
C00048,Adya,Tella,Male,1994-01-13,adya.tella422@email.com,9445573666,Chennai,Tamil Nadu,Student,47018,Married,Retail,2025-01-26
C00049,Pranav,Tripathi,Female,1958-04-16,pranav.tripathi40@email.com,9687629943,Delhi,Delhi,Doctor,1333862,Single,Premium,2026-05-09
C00050,Hitesh,Misra,Male,1992-12-20,hitesh.misra676@email.com,6829486135,Bengaluru,Karnataka,Business Owner,3360126,Single,VIP,2025-09-30
